,RK,Name,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,YDS,LNG,TD,FF,Team
238,154,Koa Naotala,LB,4,3,7,0.5,4,0,0,0,0,0,0,ODU
239,154,Jahleel Culbreath,LB,4,3,7,0.0,0,0,0,0,0,0,0,ODU
240,154,Jordan Polk,CB,0,7,7,0.0,0,1,0,0,0,0,0,TXST
241,154,Brendan Jackson,LB,2,5,7,0.0,0,1,0,0,0,0,0,TROY
242,154,Mose Phillips,S,2,5,7,0.0,0,0,0,0,0,0,0,IIIVT
243,154,Tano Letuli,LB,5,2,7,0.0,0,0,0,0,0,0,0,SDSU
244,154,Sam Brumfield,LB,1,6,7,0.0,0,0,0,0,0,0,0,VT
245,154,Oscar Moore,S,2,5,7,0.0,0,0,0,0,0,0,0,UTEP
246,154,Isaac Paul,DB,1,6,7,0.0,0,0,0,0,0,0,0,KENN
247,154,Nyzier Fourqurean,CB,3,4,7,0.0,0,0,0,0,0,0,0,WIS
248,154,Dwight Nunoo,LB,5,2,7,1.0,1,0,0,0,0,0,0,FIU
249,154,Jahron Manning,S,3,4,7,0.0,0,0,0,0,0,0,0,ODU
250,251,Will Whitson,DL,2,4,6,1.0,8,0,0,0,0,0,1,CCU
251,251,Jayden McDonald,LB,4,2,6,0.0,0,0,0,0,0,0,0,CONN
252,251,Brendon Harris,S,4,2,6,0.0,0,1,0,0,0,0,0,MTSU
253,251,Logan Taylor,LB,5,1,6,0.0,0,0,1,7,7,0,0,HAW
254,251,Noa Pola-Gates,S,4,2,6,0.0,0,2,0,0,0,0,0,UNM
255,251,Jared Bartlett,LB,3,3,6,1.0,4,0,0,0,0,0,0,CIN
256,251,Prince Wallace-Bemah,LB,1,5,6,0.0,0,0,0,0,0,0,0,CLT
257,251,Warren Burrell,DB,5,1,6,0.0,0,2,0,0,0,0,0,GT
258,251,Tate Hallock,S,4,2,6,0.0,0,1,0,0,0,0,0,WMU
259,251,Jared Harrison-Hunte,DL,2,4,6,0.0,0,0,0,0,0,0,0,SMU
260,251,Zahran Manley,CB,5,1,6,0.0,0,1,0,0,0,0,0,STAN
261,251,Tuasivi Nomura,LB,2,4,6,0.0,0,0,0,0,0,0,0,FRES
262,251,Cecil Powell,S,0,6,6,0.0,0,0,0,0,0,0,0,TROY
263,251,Alphonzo Tuputala,LB,4,2,6,0.5,1,0,0,0,0,0,0,WASH
264,251,Major Burns,S,3,3,6,0.0,0,0,0,0,0,0,0,LSU
265,251,Jordan Botelho,DL,3,3,6,0.0,0,0,0,0,0,0,0,ND
266,251,Brock Horne,LB,2,4,6,0.0,0,0,0,0,0,0,0,BGSU
267,251,Jah Joyner,DL,2,4,6,0.5,1,0,0,0,0,0,1,MINN
268,251,Rico Watson,DL,1,5,6,0.5,4,0,0,0,0,0,0,IIIUSF
269,251,Nick Session,S,6,0,6,0.0,0,0,0,0,0,0,0,NMSU
270,251,Justin Whiteside,LB,3,3,6,1.0,3,0,0,0,0,0,0,CMU
271,251,Jaheim Thomas,LB,4,2,6,0.0,0,0,0,0,0,0,0,WIS
272,251,Maxen Hook,S,3,3,6,0.0,0,0,0,0,0,0,1,TOL
273,251,Jabari Ishmael,DL,1,5,6,0.5,1,0,0,0,0,0,0,MRSH
274,251,Marlowe Wax,LB,3,3,6,1.0,3,0,0,0,0,0,1,SYR
275,251,Jahvaree Ritzie,DL,5,1,6,3.0,16,0,0,0,0,0,0,UNC
276,251,Michael Reese,DE,1,5,6,1.0,7,0,0,0,0,0,0,DUKE
277,251,Branden Jennings,LB,1,5,6,0.0,0,1,0,0,0,0,0,MSST
278,251,Clyde Washington,LB,0,6,6,0.0,0,0,0,0,0,0,0,USU
279,251,Brandon Mack,G,5,1,6,0.0,0,0,0,0,0,0,0,HOU
280,251,Dylan Lawrence,S,2,4,6,0.0,0,0,1,0,0,0,0,USM
281,251,Jonathan McGill,S,2,4,6,0.0,0,1,0,0,0,0,0,SMU
282,251,Jaden Voisin,S,5,1,6,0.0,0,0,0,0,0,0,0,USA
283,251,Alexander Teubner,S,4,2,6,0.0,0,0,0,0,0,0,0,BOIS
284,251,Alijah Huzzie,DB,2,4,6,0.0,0,1,0,0,0,0,0,UNC
285,251,Chris Thomas Jr.,DL,1,5,6,0.0,0,2,0,0,0,0,0,MRSH
286,251,Jaylin Smith,CB,3,3,6,0.0,0,0,0,0,0,0,0,USC
287,251,Joshua Robinson,DL,2,4,6,0.0,0,0,0,0,0,0,0,GT
288,251,Gabriel Lopez,EDGE,4,2,6,1.0,3,1,0,0,0,0,1,UNM
289,251,Cam Lockridge,DB,3,3,6,0.0,0,1,1,33,33,0,0,FRES
290,251,Justin Walley,DB,2,4,6,0.0,0,0,1,70,70,0,0,MINN
291,251,Alex Branch,S,2,4,6,0.0,0,0,1,60,60,0,0,KENT
292,251,Theran Johnson,DB,6,0,6,0.0,0,1,0,0,0,0,0,NU
293,251,Danny Stutsman,LB,3,3,6,0.0,0,0,0,0,0,0,0,OU
294,251,Jack Howell,DB,5,1,6,0.0,0,1,0,0,0,0,0,CSU
295,251,Shawn Asbury,DB,2,4,6,0.0,0,0,0,0,0,0,0,IIIU
296,251,TJ Smith,DB,3,3,6,0.0,0,0,0,0,0,0,0,GASO
297,251,C.J. Hicks,LB,3,3,6,1.0,8,0,0,0,0,0,0,OSU
298,251,Jeadyn Lukus,CB,6,0,6,0.0,0,0,0,0,0,0,0,CLEM
299,251,Daniel Lyons,DL,2,4,6,1.5,2,0,0,0,0,0,0,FSU
300,251,Nikai Martinez,DB,5,1,6,0.0,0,0,1,41,41,0,0,MSU
301,251,Jalon Walker,LB,3,3,6,1.5,13,0,0,0,0,0,0,UGA
302,251,Josh Minkins,DB,4,2,6,0.0,0,3,0,0,0,0,0,CIN
303,251,Jordan Brown,LB,2,4,6,0.0,0,0,0,0,0,0,0,UNT
304,251,Jordan Stringer,LB,4,2,6,0.0,0,0,0,0,0,0,0,TROY
